Rank,Player,Signed Age,Yrs,Value,AAV,Signing Bonus,Position
63,Justin Verlander|2019-2021 (FA: 2022),36,2,66000000,33000000,0,SP
63,Eugenio Suarez|2018-2025 (FA: 2026),26,6,66000000,11000000,2000000,3B
65,Danny Duffy|2017-2021 (FA: 2022),28,5,65000000,13000000,0,SP
66,Mike Moustakas|2020-2024 (FA: 2025),31,4,64000000,16000000,0,3B
66,Nick Castellanos|2020-2024 (FA: 2025),27,4,64000000,16000000,0,RF
66,Justin Turner|2017-2020 (FA: 2021),32,4,64000000,16000000,4000000,3B
69,Mark Melancon|2017-2020 (FA: 2021)Originally signed w/ SF,31,4,62000000,15500000,20000000,RP
70,A.J. Pollock|2019-2023 (FA: 2024),31,5,60000000,12000000,12000000,CF
70,Yadier Molina|2017-2020 (FA: 2021),34,3,60000000,20000000,0,C
72,Andrelton Simmons|2014-2020 (FA: 2021)Originally signed w/ ATL,24,7,58000000,8285714,1000000,SS
73,Alex Cobb|2018-2021 (FA: 2022),30,4,57000000,14250000,0,SP
74,Kyle Hendricks|2019-2023 (FA: 2024),29,4,55500000,13875000,0,SP
74,Dallas Keuchel |2020-2023 (FA: 2024),31,3,55500000,18500000,0,SP
76,Kevin Kiermaier|2017-2023 (FA: 2024),26,6,53500000,8916667,1000000,CF
77,Salvador Perez|2016-2021 (FA: 2022),25,6,52500000,8750000,6000000,C
78,Josh Reddick|2017-2020 (FA: 2021),29,4,52000000,13000000,0,RF
78,Randal Grichuk|2019-2023 (FA: 2024),27,5,52000000,10400000,5000000,CF
80,Carlos Martinez|2017-2023 (FA: 2024),25,5,51000000,10200000,1000000,SP
81,Andrew McCutchen|2019-2022 (FA: 2023),32,3,50000000,16666667,0,RF
81,Blake Snell|2019-2023 (FA: 2024)Originally signed w/ TB,26,5,50000000,10000000,3000000,SP
81,Jose Abreu|2020-2022 (FA: 2023),32,3,50000000,16666667,5000000,1B
81,Luis Robert|2020-2027 (FA: 2028),22,6,50000000,8333333,0,CF
85,Rougned Odor|2017-2023 (FA: 2024),23,6,49500000,8250000,2000000,2B
86,Aroldis Chapman|2020-2022 (FA: 2023),31,3,48000000,16000000,0,RP
87,Carlos Carrasco|2019-2023 (FA: 2024)Originally signed w/ CLE,31,4,47000000,11750000,0,SP
88,Aaron Nola |2019-2023 (FA: 2024),25,4,45000000,11250000,2000000,SP
89,Craig Kimbrel|2019-2022 (FA: 2023),31,3,43000000,14333333,0,RP
89,German Marquez|2019-2024 (FA: 2025),24,5,43000000,8600000,1500000,SP
89,Eloy Jimenez|2019-2026 (FA: 2027),22,6,43000000,7166667,5000000,LF
89,Yusei Kikuchi|2019-2025 (FA: 2026),27,3,43000000,14333333,6000000,SP
93,Anthony Rizzo|2013-2021 (FA: 2022),23,7,41000000,5857143,2000000,1B
94,James McCann |2021-2024 (FA: 2025),30,4,40600000,10150000,600000,C
95,Luis Severino|2019-2023 (FA: 2024),24,4,40000000,10000000,2000000,SP
95,Will Smith|2020-2023 (FA: 2024),30,3,40000000,13333333,0,RP
97,Jay Bruce|2018-2020 (FA: 2021)Originally signed w/ NYM,30,3,39000000,13000000,3000000,RF
97,Zack Britton|2019-2022 (FA: 2023),31,3,39000000,13000000,0,RP
97,Matt Carpenter|2019-2022 (FA: 2023),33,2,39000000,19500000,0,3B
100,Tyler Chatwood|2018-2020 (FA: 2021),27,3,38000000,12666667,0,SP
