Rank,Player,Signed Age,Yrs,Value,AAV,Sign Bonus,Position
58,Victor Oladipo|2017-2020 (FA: 2021)Originally signed w/ OKC,24,4,85000000,21250000,-,SG
63,Gary Harris |2018-2021 (FA: 2022),23,4,84000000,21000000,-,SG
64,Davis Bertans |2020-2024 (FA: 2025),28,5,80000000,16000000,-,SF
64,Aaron Gordon|2018-2021 (FA: 2022),22,4,80000000,20000000,-,PF
64,Myles Turner|2019-2022 (FA: 2023),22,4,80000000,20000000,-,C
67,Zach LaVine |2018-2021 (FA: 2022),23,4,78000000,19500000,-,SG
68,Eric Gordon |2020-2023 (FA: 2024),30,4,75574356,18893589,-,SG
69,Joe Harris |2020-2023 (FA: 2024),29,4,75000000,18750000,-,SG
70,Domantas Sabonis|2020-2023 (FA: 2024),23,4,74900000,18725000,-,PF
71,Bojan Bogdanovic|2019-2022 (FA: 2023),30,4,73100000,18275000,-,SF
72,Bogdan Bogdanovic|2020-2023 (FA: 2024),28,4,72000000,18000000,-,SG
72,OG Anunoby |2021-2024 (FA: 2025),23,4,72000000,18000000,-,SF
74,Bradley Beal|2021-2022 (FA: 2023),26,2,71764430,35882215,-,SG
75,Tim Hardaway Jr. |2017-2020 (FA: 2021)Originally signed w/ NYK,25,4,70950000,17737500,-,SG
76,Derrick White|2021-2024 (FA: 2025),26,4,70000000,17500000,-,PG
76,Eric Bledsoe|2019-2022 (FA: 2023)Originally signed w/ MIL,29,4,70000000,17500000,-,PG
76,Dennis Schröder|2017-2020 (FA: 2021)Originally signed w/ ATL,23,4,70000000,17500000,-,PG
79,Jonathan Isaac |2021-2024 (FA: 2025),23,4,69600000,17400000,-,PF
80,Ian Mahinmi |2016-2019 (FA: 2020),29,4,64000000,16000000,-,C
80,Marcus Morris Sr.|2020-2023 (FA: 2024),31,4,64000000,16000000,-,SF
82,Dejounte Murray|2020-2023 (FA: 2024),23,4,63820000,15955000,-,PG
83,Gorgui Dieng |2017-2020 (FA: 2021)Originally signed w/ MIN,26,4,62800000,15700000,-,C
84,Julius Randle |2019-2021 (FA: 2022),24,3,62100000,20700000,-,PF
85,Danilo Gallinari|2020-2022 (FA: 2023),32,3,61425000,20475000,-,PF
86,Jerami Grant |2020-2022 (FA: 2023),26,3,60007500,20002500,-,PF
87,Malik Beasley|2020-2023 (FA: 20204),24,4,60000000,15000000,"$300,000 ",SG
88,Terry Rozier|2019-2021 (FA: 2022),25,3,56700000,18900000,-,PG
89,Cody Zeller|2017-2020 (FA: 2021),24,4,56000000,14000000,-,C
90,Terrence Ross|2019-2022 (FA: 2023),28,4,54000000,13500000,-,SG
91,Will Barton|2018-2021 (FA: 2022),27,4,53000000,13250000,-,SF
92,Caris LeVert |2020-2022 (FA: 2023),24,3,52500000,17500000,-,SG
93,Joe Ingles|2017-2020 (FA: 0),29,4,52000000,13000000,-,SF
93,Brook Lopez |2019-2022 (FA: 2023),31,4,52000000,13000000,-,C
95,Marcus Smart|2018-2021 (FA: 2022),24,4,51999900,12999975,-,PG
96,Jordan Clarkson|2020-2023 (FA: 2024),28,4,51520000,12880000,-,PG
97,Ricky Rubio |2019-2021 (FA: 2022)Originally signed w/ PHX,28,3,51000000,17000000,-,PG
98,Marvin Bagley III|2018-2021 (FA: 2022),18,4,50899782,12724946,-,PF
99,Markelle Fultz|2021-2023 (FA: 2024),22,3,50000000,16666667,-,PG
99,LaMarcus Aldridge|2019-2020 (FA: 2021),32,2,50000000,25000000,-,PF
